lender,var,cutoff,left,right,jump,se,t,n_left,n_right,stable_across_bandwidths,flag,known_selection
capone,orig_amount,730,24853.205637756677,25356.512498516513,503.3068607598361,189.42451452512844,2.6570312824693505,4961,9317,True,False,False
capone,orig_amount,735,25176.649503889057,25200.9459228219,24.296418932841334,178.35914511850646,0.13622188487558717,5539,10392,False,False,False
capone,orig_amount,740,24855.522507242247,25614.716404681356,759.1938974391087,168.34089233890765,4.509860241863769,6112,11475,True,False,False
capone,orig_amount,745,25503.391351496408,25572.501617032558,69.11026553615011,159.68635898126854,0.4327875341202867,7207,11949,False,False,False
capone,orig_amount,750,25669.0739432429,25460.790930069783,-208.28301317311707,152.64200624742824,-1.3645196253218552,8280,12509,False,False,False
capone,orig_amount,755,25487.243110337222,25547.371045333857,60.127934996635304,146.1857319944721,0.4113119261112911,9317,13064,False,False,False
capone,orig_amount,760,25440.83323194492,25387.541517685153,-53.291714259765286,139.60452808629677,-0.38173342219116935,10392,13702,False,False,False
capone,orig_amount,765,25051.710898438538,25883.65964694072,831.9487485021818,134.38881100281202,6.190610232311481,11475,14321,True,False,False
capone,orig_amount,770,25814.595129991514,25299.11666355729,-515.4784664342224,131.50851973836137,-3.919734382683162,11949,15017,True,False,False
capone,orig_amount,775,25525.63722139456,25121.058939836574,-404.5782815579878,127.93015883817739,-3.1624933888321887,12509,15555,True,False,False
capone,orig_amount,780,25088.866481564757,25397.474443710602,308.6079621458448,125.16407738535464,2.465627267763928,13064,16046,True,False,False
capone,orig_amount,785,25432.911877790873,25037.58362977545,-395.328248015423,122.56239964677823,-3.225526337235148,13702,16523,True,False,False
capone,orig_amount,790,24971.063695388853,25335.583768098564,364.5200727097108,119.73542688470769,3.0443794472015733,14321,16983,True,False,False
capone,orig_amount,795,25332.15959998535,24946.130825194065,-386.0287747912844,117.52308783627917,-3.284705855661818,15017,17270,True,False,False
capone,orig_amount,800,24896.61974543997,24975.325111609378,78.70536616940808,115.5528717604836,0.6811199494249479,15555,17549,False,False,False
capone,orig_amount,805,24694.32853592667,25237.377634843182,543.0490989165119,114.64014662120695,4.736988872762439,16046,17472,True,False,False
capone,orig_amount,810,25007.523646896243,24995.209357299354,-12.314289596888557,114.33106466500132,-0.10770729401471384,16523,16925,False,False,False
capone,orig_amount,815,24918.84259532764,24924.2587334017,5.416138074062474,115.02105347555471,0.047088232201016655,16983,15783,False,False,False
capone,orig_amount,820,24963.841133592705,24257.650604754952,-706.1905288377529,116.5193296423557,-6.0607156855891064,17270,14321,True,False,False
capone,orig_amount,825,24231.990083634195,24256.63260197831,24.64251834411334,119.75771822122948,0.2057697717535917,17549,12240,False,False,False
capone,orig_amount,830,23930.289101908565,24544.851745042877,614.5626431343117,126.2586920811988,4.867487798298097,17472,9960,True,False,False
